Cluster_Original;Descricao_Item;Preco_Pago_Real;Preco_Justo_Estimado;Quantas_Vezes_Mais_Caro;ano;unidade_gestora
14;reforma da escada lateral do edificiosede que estava apresentando risco de acidente;1335.00;93.07;14.30;2019;prr1 regiao
10;aquisicao de capa para processo;800.00;56.04;14.30;2016;
15;substituicao de portas na sede da prsc;1070.00;75.08;14.30;2019;prsc
16;p substituicao de torneira quebrada no banheiro adaptado do 5 andar da torre 1 da prsc;855.00;60.78;14.10;2020;prsc
11;"equipo macrogotas inj lat cfiltro
fita micropore 50mmx10 m";488.00;34.77;14.00;2016;
15;p realizar conserto da porta de acesso a selogprsc que em razao do dano na mola de piso que la se encontrava nao estava perimitindo que a porta ficasse adequadamente trancada;970.00;69.42;14.00;2020;prsc
3;necessidade de adquirir divisoria em acrilico para o atendimento ao publico;1150.00;82.52;13.90;2021;prro
2;aquisicao de 13 tapetes sanitizantes para uso em acessos da prsc;1287.00;92.53;13.90;2021;prsc
3;compra emergencial para campanha de setembro amarelo desta ssis;795.60;58.24;13.70;2018;
10;compra emergencial para odontologia lixa de polimento com valor unid de r 16600 cada;1383.00;101.29;13.70;2021;pgr
10;tijolo 6 furos 15un x r 0;743.00;54.44;13.60;2016;
3;necessidade de automatizar os portoes da unidade do mpfmpt em jiparana;1400.00;104.53;13.40;2021;prro
14;laminados e acessorios para fabricacao da bancada do restaurante da pr rs;800.50;59.79;13.40;2019;prrs
2;aquisicao de epis para uso na prm blumenau;1122.00;84.69;13.20;2020;prsc
0;"pb toyota hilux 2005
cola pb sikaflex 258 ct 310 ml";590.00;44.95;13.10;2016;
4;compra de material necessario nao constante em almoxarifado da pres;790.00;61.65;12.80;2021;pres
5;segundo  dados  do  relatorio  de  avaliacao  cgu  de  8  de  junho  de  2020disponivel  em httpsauditoriacgugovbrdownload14170pdf  o  custo  medio  de  uma dispensa de licitacao e de r 440090 quatro mil e quatrocentos reais e noventa centavosora se em media de acordo com o referido estudo o custo  operacional de movimentacao da maquina publica para realizar uma dispensa de licitacao tem valor medio de r 440090 nao se mostra eficiente fazer mais com o menor custo possivel  principio constitucional previsto no caput do art 37 da cf a contratacao via dispensa de licitacao do servico em tela cuja estimativa total de gasto e de apenas r 126700;1197.00;94.54;12.70;2020;prro
16;compra de tapete sintetico para o vestiario masculino e feminino localizado na sobre loja para atender a seguranca dos usuarios deste local;888.31;70.30;12.60;2017;
16;para substituicao de torneira adaptada para cadeirate do banheiro da recepcao da torre 1 da prsc que estava danificada;800.00;63.58;12.60;2020;prsc
4;pequeno valor;850.00;67.66;12.60;2021;prro
8;aquisicao de vinte caixas de papel toalha para uso nos banheiros da prpr;648.06;53.13;12.20;2018;
10;360 tubo soldado 50 mm krona04 joelhos90 solv 50 mm krona 01 cola pvc 175 gr krona c pincel 06 abracadeira tipo u 112 perfilaco 12 parafusos sext r soberba bucha c anel fix cap sold 50 mm marrom krona;340.00;28.08;12.10;2016;
17;aquisicao de materiais necessarios para conclusao da instalacao dos aparelhos de ar condicionado do 11 pavimento;1065.00;88.50;12.00;2018;
18;manutencao predial;729.70;60.71;12.00;2021;prr5 regiao
17;servico de manutencao e reparos no sistema de cftv necessarios para a garantia da seguranca organica da unidade;1176.00;98.54;11.90;2021;prro
12;"tubo elet 25mm 3mt tigre 
curva eletroduto 25mm tigre
paraf ciser 48x50 pmadeira
bucha parafusar 08ivasa
cx de luz 4x2 tigre amarela
placa cega 4x2 blanc fame
haste de aterramento 150mt
fita isolante 10mt tigre
cabo pp 2x15 sil
disj monof 32a din lorenzete
disj monof 25a din lorenzete
cabo flexsil 400mm 10 sil
conector phaste inco";422.75;35.56;11.90;2016;
17;compra e instalacao de barreira de acrilico na recepcao e sala de atendimento ao cidadao com o objetivo de conter a disseminacao do covid19;1250.00;105.83;11.80;2021;prro
4;necessidade de limpeza devido devido ao tempo de utilizacao e a sujeira ocasionada pela realizacao de reformas;1557.00;133.14;11.70;2021;prr1 regiao
14;colocacao de fotografia de procuradora chefe regional da gestao anterior  conforme tradicao em moldura para instalacao na galeria de fotos dos procuradores chefes localizada no 12 andar da prr1;950.00;82.07;11.60;2021;prr1 regiao
14;servico de conserto do projetor datashow que atende as palestras  reunioes no auditorio principal da prrj;710.00;61.36;11.60;2018;
16;consertar vazamento de agua no terreno com a substituicao de encanamento 15 metros de cano;757.50;66.04;11.50;2021;prrn
15;reposicao de mola hidraulica da porta de vidro da entrada principal do predio;800.00;70.73;11.30;2017;
8;1 um galao de 3;610.00;55.40;11.00;2016;
6;aquisicao de 15 pacotes de toalha de papel para atender a esta prrj em razao da empresa contratada nao ter efetuado a entrega desse material;959.55;88.22;10.90;2018;
2;aquisicao da sinalizacao necessaria para o retorno das atividades presencias na prse;1431.14;131.67;10.90;2020;prse
2;para possibilitar higienizacaodas maos das pessoas que ingressam na prsc;900.00;83.03;10.80;2020;prsc
6;pen drive 8gb;919.00;85.04;10.80;2016;
12;"mudas eugenia matozi  57 unidades
mudas amelia patens  11 unidades";621.00;58.01;10.70;2016;
16;prestacao de servicos de desmontagem e remontagem de divisorias no 9 andar do edificio sede da prpr;1150.00;108.14;10.60;2019;prpr
10;quadros  3 unidades;410.00;38.65;10.60;2016;
12;03 pacote anilha wic color  100 porca gaiola 5mm  06 pacote abracadeira de nylon;354.40;33.45;10.60;2016;
2;dar cumprimento ao protocolo de seguranca para retorno das atividades na prse profilaxia do virus sarscov2causador da convid 19;1400.00;132.36;10.60;2020;prse
14;demanda urgente por reforma de sofa do hall da recepcao do gabinete do procuradorchefe tendo em vista que o tecido repentinamente rasgouse no  centro do sofa necessitando de conserto;1000.00;94.87;10.50;2019;prms
17;para sistema eletronico de alarmes e trancas;1140.00;108.64;10.50;2020;prr4 regiao
4;cabo para fazer chupeta nos veiculos da prsc que eventualmente estiverem com a bateria descarregada e carregador de bateria para os veiculos referidos;770.00;73.41;10.50;2020;prsc
13;item para afixacao de documento comprobatorio da certificacao de 21 oficios da prrj e prms bem como para afixacao de certificado de desempenho  de 8 areas administrativas da prrj e 1 certificado iso 90012015 da sac prrj;747.00;71.45;10.50;2019;prrj
12;"carimbo automatico 38x144911
carimbo automatico 58x224913
borracha para carimbo automatico";534.00;51.08;10.50;2016;
3;necessidade da prmsanta cruz do sul;1006.20;96.52;10.40;2020;prrs
12;corrente 7mm e curto dtools  0;522.00;50.46;10.30;2016;
4;servico de pequeno vulto;675.00;65.35;10.30;2021;prro
1;aluguel de um veiculo tracado 4x4 com condutor nos dias 2110 e 2410 no trecho de santa cruz do arari x vila joviliano pantoja rio mocoons incluindo despesas com combustivel;1101.12;106.68;10.30;2019;prpa
11;etiquetagem de identificacao das fitas lto6;900.00;87.30;10.30;2020;prrj
19;confeccao de suportes para fixar as novas luminarias externas em led nos postes existentes  16 un;768.00;75.39;10.20;2019;prr4 regiao
8;lata de tinta esmalte;900.00;88.68;10.10;2016;
9;"resina 3m filtk bulk fill flow
riva lc kit";774.00;76.51;10.10;2016;
15;aquisicao de porta de vidro para instalacao no ardar da informatica do predio sede da prpr;890.00;88.05;10.10;2021;prpr
13;copia de planta e plotagem mono;566.60;56.32;10.10;2016;
1;aquisicao de duas passagens em camarote fechado para deslocamento dos servidores maspoli tadeu ramos e carlos azzi ao municipio de bagreno trecho de volta bagrebelem;580.00;58.11;10.00;2018;
12;reposicao de lampadas luminarias pilhas canos flexiveis sensores cola para canos;624.66;62.64;10.00;2021;prsc
1;pagamento de pedagio;70.80;7.11;9.90;2018;
3;banners a serem utilizados na inauguracao do memorial do mpf na prr4;739.30;74.70;9.90;2019;prr4 regiao
12;"adesivo branco brilho a4  1 unidade
papel foto flossy 180 gr  5 unidades";403.50;40.97;9.80;2016;
10;5 pares de placa oficial brasil;700.00;71.21;9.80;2016;
19;servico de mao de obra de verificacao e troca de lampadas e reatores em postes da iluminacao externa no patio da prm pelotas;890.00;90.59;9.80;2019;prrs
4;conforme descrito e autorizado pelo ordenador de despesas no documento prro000278832020;975.60;99.60;9.80;2020;prro
12;reposicao de lampadas no ss da prsc cabo flexivel para uso em manutencao;587.33;60.03;9.80;2019;prsc
12;plotagem mono;717.60;73.47;9.80;2016;
7;realizacao de recarga de gas em 06 equipamentos de arcondicionado que foram instalados na nova sede da prmbage;1350.00;138.53;9.70;2019;prrs
17;detector de metal com defeito;648.00;66.66;9.70;2018;
14;aquisicao de 30trinta fitas de demarcacao de solo para utilizar nos pisos de granito quando da realizacao de eventos em areas internas de edificiosede da pgr;795.00;81.95;9.70;2018;
12;"4 unid de lampada ultra led bolinha  5 w
40 unid de luva uniduto reto aluminio 34 polegadas  tramontina
50 unid copex revestido 34 polegadas  tecnoflex

";452.12;46.72;9.70;2016;
4;necessidade de asseio da frota inexistencia de contrato de manutencao veicular;760.00;78.62;9.70;2021;prrr
14;aquisicao de materiais para confeccao de parede de dry wall e porta provisorioa para a biblioteca no segundo anmdar do predio sede da prpr;808.10;84.08;9.60;2021;prpr
4;bateria 90 amp;440.00;45.78;9.60;2016;
4;compra urgente de material nao constante no almoxarifado da unidade;592.20;61.65;9.60;2020;pres
16;reforma do gabinete atico  torre 1;671.55;69.98;9.60;2019;prsc
17;instalacao eletrica de 09 refletores inclusive colocacao;800.00;84.46;9.50;2016;
19;p substituicao de reatores queimados em gabinete da prsc e uso em manutencoes da parte eletrica na prsc;698.82;73.82;9.50;2019;prsc
5;compra para enfermagem;3030.00;321.78;9.40;2020;pgr
17;reparode 02 aparelhos microondas marca lg e 01 aparelho da marca consul que se encontram comdefeito;665.00;70.69;9.40;2021;prba
9;aquisicao de registros de gaveta bruto dn 25 pol necessarios ao sistema de recalque da pgr;741.00;78.97;9.40;2020;pgr
8;aquisicao de 4 dispensers de alcool gel com acionamento por pedal para uso no ambito da prm blumenau;760.00;81.11;9.40;2020;prsc
19;foram compradas 35trinta e cinco lampadas led tubular 9w com o objetivo de manutencao predial;664.65;71.02;9.40;2020;prrj
5;considerando a falha da empresa riomix a prm ficou sem papel toalha e foi necessario comprar de emergencia;518.00;55.56;9.30;2019;prsp
3;aquisicao de material para atender  a divisao de engenharia e arquitetura;621.00;66.96;9.30;2019;prrj
10;quadro cemar pvc ext br 16 din trif para atender a prm petropolis;388.40;41.98;9.30;2017;
4;asseio da frota;830.00;90.47;9.20;2021;prrr
4;aquisicao de equipamento para medicao de temperatura;1100.00;120.21;9.10;2021;prr4 regiao
15;colocacao de calco de borracha e regulagem das portas de vidro temperado;636.00;69.92;9.10;2017;
1;itens adquiridos conforme demanda da caprsc para disponibilizacao a cticprsc e ao procurador da republica mario roberto dos santos;745.00;81.96;9.10;2020;prsc
6;compra de kits para suprir exames de laboratorio nao adquiridos pela licitacao;781.55;86.44;9.00;2017;
19;substituir lampadas danificadas;577.50;63.95;9.00;2018;
14;para atendimento ao pedido 19287 compra de plantas para o estacionamento externo;710.00;78.69;9.00;2019;prr4 regiao
3;aquisicao de placas para a cerimonia de encerramento do curso de autoprotecao para membros realizado nos dias 8 e 9 de setembro na uniprf;869.90;96.57;9.00;2021;prsc
5;acucar doce dia pct2kg cristal;586.80;65.20;9.00;2016;
15;aquisicao de uma porta de vidro e dobradica para reposicao da porta de entrada do predio quebrada durante temporais na regiao;771.00;85.72;9.00;2019;prrs
9;uniao cassento conico bronze galv niple duplo galvanizada;431.34;48.23;8.90;2016;
14;recomposicao do teto de gesso fechamento dos rasgos na parede e afins;665.98;74.52;8.90;2021;prse
3;procuracoes para representar as unidades do mpf junto a receita federal do brasil urgencia;690.30;77.95;8.90;2018;
1;atender as demandas de contratacoes referente a servicos prestados na sala cedida pela justica federal a  prm guajara mirim;800.00;90.39;8.80;2018;
14;aquisicao de tintas e materiais acessorios para realizacao de pintura no gabinete da dra daniele cardos escobar e tambem a pintura demarcatoria das vagas de moto na garagem do subsolo da prsc;872.98;99.01;8.80;2021;prsc
14;aquisicao urgente de chapas de gesso para o forro das salas da secretaria de gestao de pessoas;746.00;85.25;8.70;2019;pgr
4;atendimento de despesa de pequeno vulto;570.00;65.35;8.70;2021;prro
1;recarga dos extintores da procuradoria da republica no municipio de jiparana;1100.00;126.40;8.70;2021;prro
2;compra de mascara protetor facial necessidade do servico;580.00;67.11;8.60;2020;prr4 regiao
1;aquisicao de duas passagens em camarote fechado para deslocamento dos servidores maspoli tadeu ramos e carlos azzi ao municipio de bagreno trecho belembagre;580.00;67.22;8.60;2018;
3;necessidade de servicos referentes a mudanca de sede na prmcampo formoso;850.00;98.64;8.60;2021;prba
9;aquisicao de resgistro de gaveta dn 2 12 e conexoes em pvc soldavel necessarios a manutencao das instalacoes hidraulicas no barrilete do bloco f da pgr;863.00;100.41;8.60;2020;pgr
5;compra para odontologia;1140.00;132.68;8.60;2020;pgr
16;material para colocar azulejo banheiro feminino t3 andar 3 e grampeador manutencao cadeira tecido;507.20;59.22;8.60;2018;
12;plug monobloco 2pt 10a plug femea 2pt 10a plug macho 2pt 20a tubo eletrico pvc rosca luva eletrica pvc rosca disjuntor 16a plug femea 2pt 20a curva eletrica pvc rosca longa 90 caixa eletrica 4x2 am material utilizado para adequacao de pontos eletricos e logicos em diversas salas da prr 5 regiao;310.66;36.28;8.60;2016;
2;mascara de protecao resp pff2 azul;599.50;70.02;8.60;2020;pgr
4;despesas eventual de pequena monta sem cobertura contratual;694.00;81.42;8.50;2017;
4;aquisicao de arquivo morto por nao haver licitacao em andamento;800.00;93.91;8.50;2019;prmt
10;confeccao de suporte extensor articulado em aco inox conforme detalhamento;565.00;66.42;8.50;2019;prr4 regiao
7;aquisicao de agua mineral sem contrato ou arp;754.00;88.75;8.50;2019;prmt
16;substituicao de vaso entupido no banheiro feminino do 1 andar t3;567.00;66.94;8.50;2018;
15;cilindro r22;450.00;53.17;8.50;2016;
17;servico de instalacao de 02 pontos de energia e manutencao em 04 cameras de seguranca;698.00;82.68;8.40;2016;
10;tubo pvc rosca;232.00;27.56;8.40;2016;
12;aquisicao de tres canaletas de aluminio nas seguintes medidas 25x73x3000mm aquisicao de tres tampas para canaletas 73mm aquisicao de duas canaletas em pvc nas seguintes medidas 50x20x2000mm;545.88;64.97;8.40;2018;
17;servicos de reparos em placa de fonte de tv lg;590.00;70.46;8.40;2018;
18;servicos de empresa especializada em conserto e substituicao de placas de forro teto;840.00;100.83;8.30;2021;prba
0;manutencao de motor gerador;982.78;118.41;8.30;2021;prrr
12;modulo siena com tomada rj45 8 vias na 14 unidades;378.00;45.78;8.30;2017;
18;material de manutencao predial para uso na prpb;500.60;60.71;8.20;2021;prpb
17;instalacao de carregador de bateria do qta;499.99;60.75;8.20;2017;
5;considerando a necessidade de obtencao rapida do material assim como a dificuldade que estavamos tendo em comprar atraves de dispensa de licitacao pois as empresas estavam solicitando o pagamento em dinheiro ou cartao nao aceitando dessa forma o pagamento posterior atraves de empenho;876.96;106.82;8.20;2020;prrj
17;demanda oriunda da secao de seguranca organica no sistema de cftv da sede da prms com risco de pane no aludido sistema se as baterias nao fossem substituidas urgentemente;778.50;94.98;8.20;2017;
11;gesso 1kg 5 fita dupla face  e vedapren 18kg;295.50;36.09;8.20;2016;
11;"quadro eletrico cemar pvc ext br 16 din trif para atender a prm petropolis
fita isolante para a prrj";394.80;48.39;8.20;2017;
4;aquisicao de envelopes para a formacao de estoque no almoxarifado;587.50;72.04;8.20;2017;
19;substituicao lampadas mezanino torre 3 fio para extensao;509.12;62.57;8.10;2019;prsc
16;materais necessarios ao desempenho de funcao e a realizacao de servico;736.82;90.60;8.10;2021;prrn
5;papel ploter sulfite a0 75g 91;450.00;55.43;8.10;2016;
17;aquisicao dos itens emergenciais para a execucao de servicos de manutencao;593.00;73.14;8.10;2019;prba
3;permitir melhor utilizacao dos smartphones durante as reunioes de trabalho;600.00;74.13;8.10;2021;prr1 regiao
19;nao disponibilidade no estoque da selog;510.00;63.20;8.10;2019;prpb
2;aquisicao de diversos equipamentos para a prm blumenau epis e de seguranca sanitaria;874.80;108.48;8.10;2020;prsc
3;cartucho para atender a divisao de arquitetura e engenharia em razao de nao possuirmos em nosso almoxarifado;537.00;66.74;8.00;2019;prrj
4;necessidade imediata de material sem estoque no almoxarifado;742.42;92.43;8.00;2018;
12;adaptador eletrico 10a plug tripolar 30 unidades;207.00;25.78;8.00;2016;
13;repara nas persianas da assessoria dos gabinetes;520.00;65.02;8.00;2021;prmg
17;aquisicao de fitas de dados lto3 para backup;597.00;74.90;8.00;2017;
12;revestimento plastico para prtecao das botoeiras dos elevadores;717.00;90.04;8.00;2020;prpb
14;para a substituicao da moldura destinada a procuradora regional valquiria oliveira quixada nunes  danificada  durante  a  sua  reinstalacao  apos  a  reforma  ocorrida  no  decimo  segundo andar desta prr1;530.00;66.57;8.00;2021;prr1 regiao
2;aquisicao de diversos produtos destinados ao uso na limpeza e manutencao;759.14;95.54;7.90;2018;
4;85 galoes de 20l aguaexecelencia valor da unidade r 700;595.00;74.88;7.90;2016;
1;necessidade de moldura para exposicao de mapas no gabinete dr pedro paulo grubits goncalves de oliveira;640.00;80.61;7.90;2019;prms
12;compra de cabo para microfone 020 mm 04 unidades;380.00;47.88;7.90;2016;
9;areia lavada 2 areia de fingir 2 torn coz crom pia inox valvula para pia inox cera 2 bico torneira jardim 2 torneira jardim 2 e uniao soldavel;414.30;52.25;7.90;2016;
17;"instalacao e fornecimento de material para central telefonica
voice painel 24 portas  r 25000
cabo dg 24 pares com conector sipac 6 m  r 43000";680.00;85.77;7.90;2016;
17;servico de revisao ajustes e troca da resistencia da cafeteira eletrica;480.00;60.54;7.90;2016;
3;realizacao de dedetizacao desinsetizacao no predio servico este que nunca havia sido realizado servico autorizado pelo secretario estadual francisco perante cotacao e escolha da proposta mais vantajosa para a adminitracao publica;950.00;120.03;7.90;2021;prmt
19;nao havua disponibilidade no estoque da selog;500.00;63.20;7.90;2021;prpb
15;conserto do portao de entrada principal acesso de carro externo a prr4 entrada da garagem dos procuradores;612.00;77.45;7.90;2018;
2;epis e materiais para utilizacao na prm  protecaoprevencao contra corona virus  conforme determinacao da ca prsc  oficio circular n 432020caprsc;792.90;100.57;7.90;2020;prsc
17;instalacao de cftv na prm monteiro;604.00;76.69;7.90;2020;prpb
0;trasporte de dois veiculos palio wekeend provenientes da prac e transferidos para a prro o procedimento foi autorizado pelo secretario estadual conforme documento em anexo;1000.00;127.05;7.90;2020;prro
15;"solicito o ajuste da porta da recepcao lado sul apos a passagem de pessoas abre e fecha
varias vezes";590.00;75.01;7.90;2018;
4;aquisicao de material de biosseguranca para atendimento da prms e prms vinculadas em conformidade com a nota tecnica n 0012020seprms;2548.20;324.31;7.90;2020;prms
12;compra de micro sd 32 gb  04 unidades;312.00;39.77;7.80;2016;
4;adquirido em atendimento ao despacho 56352018 da secretaria estadual;800.00;102.18;7.80;2018;
3;equipamentos necessarios para utilizacao em treinamento de agentes de seguranca institucional;750.00;95.99;7.80;2020;prsc
6;aquisicao de material de limpeza para uso na prm petropolis;823.61;105.53;7.80;2018;
17;manutencao no sistema de cftv da prm feira de santana e conserto em fechaduras eletronicas do portao de acesso ao predio principal;582.95;74.75;7.80;2020;prba
17;o nobreak requer o conserto em carater de urgencia em razao de alimentar o cftv e o relogio ponto da prm outrossim a urgencia justificase a fim de que se possa evitar danos dos equipamentos que agora estao ligados diretamente na rede eletrica;1160.00;149.01;7.80;2019;prrs
19;aquisicao de produtos anti mofo para desinfeccao de salas da sede que estao com excesso de fungos;585.20;75.26;7.80;2020;prrs
4;contratacao autorizada pela coordenadora da prmjiparana o valor bruto da nota fiscal de servicos r 110000 pagamento parcial com cartao saldo em saque e deposito na conta da contratada;754.02;97.14;7.80;2020;prro
10;aquisicao de ferragens maosnafancesas reforcadas para fixacao de 3 bancadas;516.48;66.88;7.70;2017;
13;40   quarenta   copias   de   chaves   de   diversas   salasgabinetes   desta procuradoria foi feito um levantamento das copias reservas eessa  e  a  necessidade  do  setor;400.00;51.93;7.70;2019;prba
14;reforma e pintura de portas e armarios da copacozinha da prm monteiro;600.00;78.20;7.70;2019;prpb
18;contratacao de profissionalempresa especializada em trabalho em altura  alpinismo industrial para efetuar o servico de passagem de cabo sdi pelo forro do auditorio;520.00;67.88;7.70;2019;prr4 regiao
10;130 copias a3 digital color;493.00;64.72;7.60;2016;
13;compra de controles remotos para os portoes da prr4 necessidade do servico;600.00;78.84;7.60;2021;prr4 regiao
16;execucao de servicos de reparo nas instalacoes hidraulicas na prm picos;640.00;84.15;7.60;2017;
17;necessidade de manutencao da rede eletrica da unidade que estava apresentando constantes oscilacoes e ocasionando a queima frequente de lampadas para solucionar o problema era necessaria a aquisicao de dois dps e fios eletricos para realizar os aterramentos individuais dos dps instalados no quadro de distribuicao da unidade no total quatro;630.00;82.86;7.60;2021;prpi
16;materiais de consumo para pequenos consertos na estrutura fisica;535.00;70.56;7.60;2021;prpb
10;tela soldada practica 5x100 mm  22 undades;269.50;35.55;7.60;2016;
15;televisores estavam queimados troca de placa;560.00;73.96;7.60;2019;prr4 regiao
6;atender necessidade de reposicao de material de limpeza nao fornecido pela empresa suan;921.10;121.65;7.60;2018;
6;aquisicao de produtos para copa;541.86;71.64;7.60;2019;prmt
17;manutencao nobreak;680.00;90.06;7.50;2016;
1;solicitacao de servicos de cartorioreconhecimento de firma procurador chefe;562.00;74.70;7.50;2021;prsp
8;servico de confeccao de caixa de areia para desmuniciamento de arma de fogo;429.00;57.02;7.50;2021;prrj
11;aquisicao de quatorze fitas de demarcacao de piso para prpr e prms;562.70;74.86;7.50;2020;prpr
2;dar cumprimento aos protocolos de seguranca para o retorno as atividades da prse profilaxia do virus sarscov2causador da covid 19;1044.00;138.98;7.50;2020;prse
1;assistencia tecnica;800.00;106.50;7.50;2016;
1;considerando a inexistencia do material no momento no almoxarifado;450.00;59.96;7.50;2020;prrj
9;para pagamento da prestacao de servicos de substituicao de troca de magueira do grupo gerador e colocacao de agua com aditivo especifico para o gerador;800.00;106.82;7.50;2021;prac
16;compra de material solicitada por parte da secao de manutencao e servicos gerais para reparo de tubulacao com vazamento;706.88;94.42;7.50;2016;
12;eletroduto pvc 9 curva pvc p eletroduto 95 luva pvc p eletroduto 5curva pvc180 2 e chumbador cb p parafuso 15;223.45;29.87;7.50;2016;
19;nao ha disponibilidade de estoque na selog;472.50;63.20;7.50;2021;prpb
3;molduras para 11 certificados;649.00;87.21;7.40;2019;prsc
