Cluster_ID;Descricao_Item;Preco_Pago;Preco_Referencia;Teto_Estatistico;Perc_Excesso;ano;unidade_gestora
10;02 copias digital color a4;1524.00;34.55;181.78;738.38;2016;
1;aluguel de um veiculo tracado 4x4 com condutor nos dias 2110 e 2410 no trecho de santa cruz do arari x vila joviliano pantoja rio mocoons incluindo despesas com combustivel;1101.12;11.60;134.35;719.59;2019;prpa
1;recarga dos extintores da procuradoria da republica no municipio de jiparana;1100.00;11.60;134.35;718.76;2021;prro
8;areia media;2033.00;50.00;248.54;717.96;2016;
10;compra emergencial para odontologia lixa de polimento com valor unid de r 16600 cada;1383.00;34.55;181.78;660.81;2021;pgr
4;aquisicao de material de biosseguranca para atendimento da prms e prms vinculadas em conformidade com a nota tecnica n 0012020seprms;2548.20;67.26;355.00;617.80;2020;prms
1;atender as demandas de contratacoes referente a servicos prestados na sala cedida pela justica federal a  prm guajara mirim;800.00;11.60;134.35;495.46;2018;
1;assistencia tecnica;800.00;11.60;134.35;495.46;2016;
15;servicos de manutencao com fornecimento de materiais das portas de vidros da entrada principal da prm e de acesso a guarita;1508.30;63.63;268.50;461.75;2019;prrs
1;itens adquiridos conforme demanda da caprsc para disponibilizacao a cticprsc e ao procurador da republica mario roberto dos santos;745.00;11.60;134.35;454.52;2020;prsc
4;aquisicao de material de biosseguranca para atendimento da prms e prms vinculadas em conformidade com a nota tecnica n 0012020seprms;1948.40;67.26;355.00;448.85;2020;prms
10;arruela 516 pol pfixacao parafusos  50un x r 0;974.00;34.55;181.78;435.81;2016;
10;arruela 316 pol pfixacao parafusos  50un x r 0;972.00;34.55;181.78;434.71;2016;
10;aquisicao de seis tubos de cola duas latas de tinta branco neve com 18 litros cada e sete roda teto sanca de isopor de 30x30mm por 2 metros utilizacao acabamento sala de monitoramento da prpr;935.40;34.55;181.78;414.58;2018;
11;etiquetagem de identificacao das fitas lto6;900.00;33.80;180.00;400.00;2020;prrj
6;compra de materiais de limpeza para atender a demanda da prrj devido ao nao cumprimento do contrato pela empresa terceirizada graupp responsavel pelos servicos dessa natureza;1900.28;82.80;396.03;379.83;2018;
4;pequeno valor e necessidade urgente por se tratar de item de campanha do combate ao racismo promovida pelo mpf;1700.00;67.26;355.00;378.87;2020;prro
1;necessidade de moldura para exposicao de mapas no gabinete dr pedro paulo grubits goncalves de oliveira;640.00;11.60;134.35;376.37;2019;prms
1;gravacao de audiencia no dia 04 de outubro de 2016;640.00;11.60;134.35;376.37;2016;
10;rejunte quartzolit pto 2kg x r 4;855.00;34.55;181.78;370.35;2016;
7;realizacao de recarga de gas em 06 equipamentos de arcondicionado que foram instalados na nova sede da prmbage;1350.00;80.00;292.50;361.54;2019;prrs
16;servico de reparo de vazamento em teto;1500.00;66.02;330.00;354.55;2020;prba
12;abracadeira de nylon 4;838.00;31.00;185.55;351.63;2016;
10;cimento cola quartzolit aci 20kg 5sc x r 9;814.00;34.55;181.78;347.79;2016;
1;em atendimento ao despacho prmjprro000055162020 que solicita aquisicao de 02 unidades de totem higienizador para atender as necessidades da procuradoria da republica em jiparana;600.00;11.60;134.35;346.59;2020;prro
1;p possibilitar realizacao do servico de pintura no gabinete do procurador da republica andre coutinho pagamento foi realizado por suprimento de fundos tendo em vista o exposto na informacao 16792019deaprsc;600.00;11.60;134.35;346.59;2019;prsc
2;protecao contra a covid;1695.00;93.80;381.85;343.89;2021;prrr
10;aquisicao de capa para processo;800.00;34.55;181.78;340.09;2016;
1;"aquisicao de toga de procurador regional republica
dr cicero augusto pujol correa
portal de pedidos 18237";590.00;11.60;134.35;339.15;2018;
4;necessidade de limpeza devido devido ao tempo de utilizacao e a sujeira ocasionada pela realizacao de reformas;1557.00;67.26;355.00;338.59;2021;prr1 regiao
1;aquisicao de duas passagens em camarote fechado para deslocamento dos servidores maspoli tadeu ramos e carlos azzi ao municipio de bagreno trecho de volta bagrebelem;580.00;11.60;134.35;331.71;2018;
1;aquisicao de duas passagens em camarote fechado para deslocamento dos servidores maspoli tadeu ramos e carlos azzi ao municipio de bagreno trecho belembagre;580.00;11.60;134.35;331.71;2018;
1;memorando n482019smprdfprdf000039132019que solicita e justifica a  contratacao dos servicos de instalacao do compressor csd930220vschulzser realizada por assistencia tecnica especializada;580.00;11.60;134.35;331.71;2019;prdf
9;aquisicao de resgistro de gaveta dn 2 12 e conexoes em pvc soldavel necessarios a manutencao das instalacoes hidraulicas no barrilete do bloco f da pgr;863.00;42.00;204.85;321.28;2020;pgr
12;cabinho flex60mm 750v pt 400;780.00;31.00;185.55;320.37;2016;
1;solicitacao de servicos de cartorioreconhecimento de firma procurador chefe;562.00;11.60;134.35;318.31;2021;prsp
4;valor de pequeno vulto;1470.00;67.26;355.00;314.08;2021;prro
1;colocacao de fotografia para composicao do mural dos procuradores regionais da 1 regiao;550.00;11.60;134.35;309.38;2021;prr1 regiao
1;disponibilizacao de fundo com logomarca da procuradoria da republica em barra do garcas em atendimento a deflagracao de operacoes e atendimento a midia local;550.00;11.60;134.35;309.38;2020;prmt
10;tijolo 6 furos 15un x r 0;743.00;34.55;181.78;308.74;2016;
1;para atender necessidades apontadas pelo demandante no prro000137502021;548.00;11.60;134.35;307.89;2021;prro
15;aquisicao de correia sincronizadora l050 12 mm revestimento teflon marca ppa para porta automatica  torre 1;1080.00;63.63;268.50;302.23;2020;prsc
15;substituicao de portas na sede da prsc;1070.00;63.63;268.50;298.51;2019;prsc
9;torneira pvc herc para lavatorio 11951 2un x r 9;815.00;42.00;204.85;297.85;2016;
3;autorizado pela secretaria estadual apos verificacao de disponibilidade orcamentaria pela seof;1560.00;74.90;399.45;290.54;2020;prro
9;para pagamento da prestacao de servicos de substituicao de troca de magueira do grupo gerador e colocacao de agua com aditivo especifico para o gerador;800.00;42.00;204.85;290.53;2021;prac
10;lixas tintas suvinil e rolo;705.19;34.55;181.78;287.94;2016;
12;plotagem mono;717.60;31.00;185.55;286.74;2016;
12;revestimento plastico para prtecao das botoeiras dos elevadores;717.00;31.00;185.55;286.42;2020;prpb
10;5 pares de placa oficial brasil;700.00;34.55;181.78;285.08;2016;
9;"resina 3m filtk bulk fill flow
riva lc kit";774.00;42.00;204.85;277.84;2016;
2;aquisicao da sinalizacao necessaria para o retorno das atividades presencias na prse;1431.14;93.80;381.85;274.79;2020;prse
14;substituicao de porta de madeira na prmsjrmg e seus acessorios;1417.79;69.98;384.90;268.35;2021;prmg
14;substituicao de porta de madeira da prmsjrmg e acessorios que a acompanham;1417.79;69.98;384.90;268.35;2021;prmg
18;servicos de empresa especializada em conserto e substituicao de placas de forro teto;840.00;48.00;228.78;267.17;2021;prba
2;dar cumprimento ao protocolo de seguranca para retorno das atividades na prse profilaxia do virus sarscov2causador da convid 19;1400.00;93.80;381.85;266.64;2020;prse
8;lata de tinta esmalte;900.00;50.00;248.54;262.11;2016;
9;aquisicao de registros de gaveta bruto dn 25 pol necessarios ao sistema de recalque da pgr;741.00;42.00;204.85;261.73;2020;pgr
17;com a recente reforma a sala de licitacoes ficou com dois vao de janelas mas os dois fixos junto aos pilares nao dispondo de ventilacao natural o servico proposto e paraadaptar um dos vaos fixos para maxar disponibilizando assim ventilacao natural para a sala;1500.00;90.00;415.15;261.32;2021;prr1 regiao
15;p realizar conserto da porta de acesso a selogprsc que em razao do dano na mola de piso que la se encontrava nao estava perimitindo que a porta ficasse adequadamente trancada;970.00;63.63;268.50;261.27;2020;prsc
13;aquisicao de copias de chaves para atender a demanda do agc;826.00;40.00;230.50;258.35;2020;prrn
16;recolocacao moldura em granito elevaores mezanino torre 1;1170.00;66.02;330.00;254.55;2021;prsc
3;necessidade de automatizar os portoes da unidade do mpfmpt em jiparana;1400.00;74.90;399.45;250.48;2021;prro
12;aquisicao de 11 onze unidades de requadro para alcapao 400mm;650.10;31.00;185.55;250.36;2019;prr4 regiao
16;material para manutencao dos postes de iluminacao externa do patio de estacionamento da prm pelotas;1154.60;66.02;330.00;249.88;2019;prrs
5;segundo  dados  do  relatorio  de  avaliacao  cgu  de  8  de  junho  de  2020disponivel  em httpsauditoriacgugovbrdownload14170pdf  o  custo  medio  de  uma dispensa de licitacao e de r 440090 quatro mil e quatrocentos reais e noventa centavosora se em media de acordo com o referido estudo o custo  operacional de movimentacao da maquina publica para realizar uma dispensa de licitacao tem valor medio de r 440090 nao se mostra eficiente fazer mais com o menor custo possivel  principio constitucional previsto no caput do art 37 da cf a contratacao via dispensa de licitacao do servico em tela cuja estimativa total de gasto e de apenas r 126700;1197.00;75.55;343.00;248.98;2020;prro
16;prestacao de servicos de desmontagem e remontagem de divisorias no 9 andar do edificio sede da prpr;1150.00;66.02;330.00;248.48;2019;prpr
14;reforma da escada lateral do edificiosede que estava apresentando risco de acidente;1335.00;69.98;384.90;246.84;2019;prr1 regiao
9;limpeza e revestimento da caixa dagua;700.00;42.00;204.85;241.71;2016;
14;protetor acrilico para sala de atendimento ao cidadao;1300.00;69.98;384.90;237.75;2021;prac
2;aquisicao de 13 tapetes sanitizantes para uso em acessos da prsc;1287.00;93.80;381.85;237.04;2021;prsc
12;reposicao de lampadas luminarias pilhas canos flexiveis sensores cola para canos;624.66;31.00;185.55;236.65;2021;prsc
1;considerando a inexistencia do material no momento no almoxarifado;450.00;11.60;134.35;234.95;2020;prrj
12;"mudas eugenia matozi  57 unidades
mudas amelia patens  11 unidades";621.00;31.00;185.55;234.68;2016;
5;compra para odontologia;1140.00;75.55;343.00;232.36;2020;pgr
15;aquisicao de porta de vidro para instalacao no ardar da informatica do predio sede da prpr;890.00;63.63;268.50;231.47;2021;prpr
1;combustivel para deslocamento em barco cedido na zona rural do municipio de anajas;440.01;11.60;134.35;227.51;2020;prpa
13;atender snp 512298 e lisarb da pre;750.00;40.00;230.50;225.38;2018;
13;item para afixacao de documento comprobatorio da certificacao de 21 oficios da prrj e prms bem como para afixacao de certificado de desempenho  de 8 areas administrativas da prrj e 1 certificado iso 90012015 da sac prrj;747.00;40.00;230.50;224.08;2019;prrj
18;manutencao predial;729.70;48.00;228.78;218.96;2021;prr5 regiao
12;reposicao de lampadas no ss da prsc cabo flexivel para uso em manutencao;587.33;31.00;185.55;216.53;2019;prsc
2;mascaras  resppff2 azul;1199.00;93.80;381.85;214.00;2020;pgr
11;aquisicao de quatorze fitas de demarcacao de piso para prpr e prms;562.70;33.80;180.00;212.61;2020;prpr
17;referente a instalacao de peliculas nas guaritas da vigilancia;1295.00;90.00;415.15;211.94;2019;prrs
10;confeccao de suporte extensor articulado em aco inox conforme detalhamento;565.00;34.55;181.78;210.82;2019;prr4 regiao
4;aquisicao de equipamento para medicao de temperatura;1100.00;67.26;355.00;209.86;2021;prr4 regiao
16;aquisicao de materiais necessarios para manutencao corretiva do sistema hidrosanitario da pgr e anexos;1020.00;66.02;330.00;209.09;2021;pgr
10;confeccao de adesivos e pvc impresso;558.00;34.55;181.78;206.96;2016;
8;aquisicao de 4 dispensers de alcool gel com acionamento por pedal para uso no ambito da prm blumenau;760.00;50.00;248.54;205.78;2020;prsc
2;compra de material de protecao individual para o gabinete medico dr roberto;1166.60;93.80;381.85;205.51;2020;prr4 regiao
1;aquisicao de certificados para o evento do dia do servidor publico;406.60;11.60;134.35;202.64;2021;prrj
17;compra e instalacao de barreira de acrilico na recepcao e sala de atendimento ao cidadao com o objetivo de conter a disseminacao do covid19;1250.00;90.00;415.15;201.10;2021;prro
15;reposicao de mola hidraulica da porta de vidro da entrada principal do predio;800.00;63.63;268.50;197.95;2017;
1;aquisicao de moldura para exposicao de colete doado por procurador da republica no memorial da prsc;400.00;11.60;134.35;197.73;2021;prsc
1;material utilizado nas obras para inauguracao da prm de sao goncalo;398.00;11.60;134.35;196.24;2017;
12;aquisicao de tres canaletas de aluminio nas seguintes medidas 25x73x3000mm aquisicao de tres tampas para canaletas 73mm aquisicao de duas canaletas em pvc nas seguintes medidas 50x20x2000mm;545.88;31.00;185.55;194.20;2018;
1;cabine para votacoes  eis que as eleicoes para procurador chefe regional e para procurador chefe eleitoral acontecerao ao mesmo tempo;395.00;11.60;134.35;194.01;2019;prr4 regiao
2;aquisicao de epis para uso na prm blumenau;1122.00;93.80;381.85;193.83;2020;prsc
10;zarcofer cola super bonder e arame galvan;528.40;34.55;181.78;190.68;2016;
19;servico de mao de obra de verificacao e troca de lampadas e reatores em postes da iluminacao externa no patio da prm pelotas;890.00;71.00;308.73;188.28;2019;prrs
3;necessidade de adquirir divisoria em acrilico para o atendimento ao publico;1150.00;74.90;399.45;187.90;2021;prro
12;"carimbo automatico 38x144911
carimbo automatico 58x224913
borracha para carimbo automatico";534.00;31.00;185.55;187.79;2016;
15;aquisicao de uma porta de vidro e dobradica para reposicao da porta de entrada do predio quebrada durante temporais na regiao;771.00;63.63;268.50;187.15;2019;prrs
10;aquisicao de ferragens maosnafancesas reforcadas para fixacao de 3 bancadas;516.48;34.55;181.78;184.12;2017;
17;servico de manutencao e reparos no sistema de cftv necessarios para a garantia da seguranca organica da unidade;1176.00;90.00;415.15;183.27;2021;prro
16;aquisicao de materiais necessarios a manutencao do sistema de irrigacao da pgr;933.80;66.02;330.00;182.97;2021;pgr
1;conserto de fragmentadora destinada ao gabinete do procurador da republica carlos augusto;380.00;11.60;134.35;182.84;2020;prsc
1;necessidade de sonorizacao em audiencia publica realizada na prmnova friburgo;380.00;11.60;134.35;182.84;2019;prrj
12;corrente 7mm e curto dtools  0;522.00;31.00;185.55;181.33;2016;
5;compra emergencial para odontologia;962.60;75.55;343.00;180.64;2021;pgr
17;o nobreak requer o conserto em carater de urgencia em razao de alimentar o cftv e o relogio ponto da prm outrossim a urgencia justificase a fim de que se possa evitar danos dos equipamentos que agora estao ligados diretamente na rede eletrica;1160.00;90.00;415.15;179.42;2019;prrs
1;a compra do material foi solicitada e pelo procurador da republica igor miranda da silva em carater de urgencia para inclusao de copia digital de autos;369.90;11.60;134.35;175.33;2018;
10;"referente a locacao de 30 cadeiras em pvc 02 mesas em pvc e 01 tenda de 5x5m em lona e metal
para uso durante a realizacao das aulas praticas de direcao operacional referente ao curso de capacitacao dos tecnicos de seguranca institucional do mpfpr";500.00;34.55;181.78;175.06;2016;
4;conforme descrito e autorizado pelo ordenador de despesas no documento prro000278832020;975.60;67.26;355.00;174.82;2020;prro
17;para sistema eletronico de alarmes e trancas;1140.00;90.00;415.15;174.60;2020;prr4 regiao
2;dar cumprimento aos protocolos de seguranca para o retorno as atividades da prse profilaxia do virus sarscov2causador da covid 19;1044.00;93.80;381.85;173.41;2020;prse
9;aquisicao urgente de tubo e conexoes de pvc marrom necessarios para a manutencao corretivas das vrps valvula redutora de pressao;558.00;42.00;204.85;172.39;2019;pgr
10;necessidade de instalacao urgente de dispensers para alcool gel;493.50;34.55;181.78;171.48;2020;prr4 regiao
10;130 copias a3 digital color;493.00;34.55;181.78;171.21;2016;
11;"equipo macrogotas inj lat cfiltro
fita micropore 50mmx10 m";488.00;33.80;180.00;171.11;2016;
10;adquiridas pecas para conserto de poltronas de escritorio da prsc;490.00;34.55;181.78;169.56;2020;prsc
16;compra de tapete sintetico para o vestiario masculino e feminino localizado na sobre loja para atender a seguranca dos usuarios deste local;888.31;66.02;330.00;169.18;2017;
1;para atender necessidades apontadas pelo demandante no prro000044312021;360.00;11.60;134.35;167.96;2021;prro
13;material para instalacao dos novos switchs;616.08;40.00;230.50;167.28;2019;prsc
9;material para ireparo em impermeabilizacao da caixa dagua;540.00;42.00;204.85;163.61;2020;prr5 regiao
8;aquisicao de vinte caixas de papel toalha para uso nos banheiros da prpr;648.06;50.00;248.54;160.74;2018;
13;compra de controles remotos para os portoes da prr4 necessidade do servico;600.00;40.00;230.50;160.30;2021;prr4 regiao
14;demanda urgente por reforma de sofa do hall da recepcao do gabinete do procuradorchefe tendo em vista que o tecido repentinamente rasgouse no  centro do sofa necessitando de conserto;1000.00;69.98;384.90;159.81;2019;prms
14;manutencao das persianas;998.00;69.98;384.90;159.29;2018;
4;aquisicao de material de biosseguranca para atendimento da prms e prms vinculadas em conformidade com a nota tecnica n 0012020seprms;920.00;67.26;355.00;159.15;2020;prms
16;p substituicao de torneira quebrada no banheiro adaptado do 5 andar da torre 1 da prsc;855.00;66.02;330.00;159.09;2020;prsc
7;aquisicao de agua mineral sem contrato ou arp;754.00;80.00;292.50;157.78;2019;prmt
17;aquisicao de materiais necessarios para conclusao da instalacao dos aparelhos de ar condicionado do 11 pavimento;1065.00;90.00;415.15;156.53;2018;
5;considerando a necessidade de obtencao rapida do material assim como a dificuldade que estavamos tendo em comprar atraves de dispensa de licitacao pois as empresas estavam solicitando o pagamento em dinheiro ou cartao nao aceitando dessa forma o pagamento posterior atraves de empenho;876.96;75.55;343.00;155.67;2020;prrj
3;necessidade da prmsanta cruz do sul;1006.20;74.90;399.45;151.90;2020;prrs
1;servico de aluguel de lancha para conducao de servidores no trecho limoeiro do ajurupa a sao sebastiao da boa vistapa;337.08;11.60;134.35;150.90;2017;
19;confeccao de suportes para fixar as novas luminarias externas em led nos postes existentes  16 un;768.00;71.00;308.73;148.77;2019;prr4 regiao
10;vidro temperado incolor 6mm  quadro mural;450.00;34.55;181.78;147.55;2016;
14;colocacao de fotografia de procuradora chefe regional da gestao anterior  conforme tradicao em moldura para instalacao na galeria de fotos dos procuradores chefes localizada no 12 andar da prr1;950.00;69.98;384.90;146.82;2021;prr1 regiao
7;compra de gas;720.00;80.00;292.50;146.15;2021;prrs
13;copia de planta e plotagem mono;566.60;40.00;230.50;145.81;2016;
8;1 um galao de 3;610.00;50.00;248.54;145.43;2016;
9;aquisicao de luvas e tes em pvc marrom dn 60 mm e reparos para valvula de descarga necessarios para manutencao corretiva nas instalacoes hidraulicas da pgr;500.00;42.00;204.85;144.08;2020;pgr
12;"4 unid de lampada ultra led bolinha  5 w
40 unid de luva uniduto reto aluminio 34 polegadas  tramontina
50 unid copex revestido 34 polegadas  tecnoflex

";452.12;31.00;185.55;143.66;2016;
12;conserto de dois microondas recuperaveis;452.00;31.00;185.55;143.60;2019;prrj
9;aquisicao de reparo para valvula de descarga hydra duo e reparo para caixa de descarga acoplada;498.24;42.00;204.85;143.22;2018;
16;para substituicao de torneira adaptada para cadeirate do banheiro da recepcao da torre 1 da prsc que estava danificada;800.00;66.02;330.00;142.42;2020;prsc
6;aquisicao de 15 pacotes de toalha de papel para atender a esta prrj em razao da empresa contratada nao ter efetuado a entrega desse material;959.55;82.80;396.03;142.29;2018;
6;aquisicao de material para atender a prrj em razao  de problemas no contrato de limpeza;959.55;82.80;396.03;142.29;2018;
1;fornecimento de lanche para a 16 sessao do colegio de procuradores da republica da prmg;323.57;11.60;134.35;140.84;2018;
7;aquisicao de materiais sem contrato e sem arp;701.21;80.00;292.50;139.73;2019;prmt
4;pequeno valor;850.00;67.26;355.00;139.44;2021;prro
6;o andar terreo esta sem climatizacao arcondicionado ate a compra e instalacao da nova tubulacao que dificulta o trabalho da equipe que la permanecem o dia inteiro com uniforme e coletes a demora no restabelecimento do funcionamento ao arcondicionado se mostra urgente e inoportuno a compra desse produto pelo rito normal de aquisicao nao ha este produto no almoxarifado da unidade bem como nao se demostra a viabilidade economica na estocam desse material;943.74;82.80;396.03;138.30;2021;prr1 regiao
10;saco plast pp 15x30x007 aproximad 1kg para uso da esterilizacao odontologia;432.90;34.55;181.78;138.15;2017;
3;realizacao de dedetizacao desinsetizacao no predio servico este que nunca havia sido realizado servico autorizado pelo secretario estadual francisco perante cotacao e escolha da proposta mais vantajosa para a adminitracao publica;950.00;74.90;399.45;137.83;2021;prmt
0;trasporte de dois veiculos palio wekeend provenientes da prac e transferidos para a prro o procedimento foi autorizado pelo secretario estadual conforme documento em anexo;1000.00;90.00;421.55;137.22;2020;prro
15;colocacao de calco de borracha e regulagem das portas de vidro temperado;636.00;63.63;268.50;136.87;2017;
2;para possibilitar higienizacaodas maos das pessoas que ingressam na prsc;900.00;93.80;381.85;135.69;2020;prsc
5;compra para enfermagem;808.00;75.55;343.00;135.57;2019;pgr
8;guia de pinus 25cm x 50cm x 270m  150un x r 390 para reparos emergenciais bandejas salvavidas predio;585.00;50.00;248.54;135.37;2016;
13;3 placas de homenagem solicitadas pela se;540.00;40.00;230.50;134.27;2021;prsc
4;asseio da frota;830.00;67.26;355.00;133.80;2021;prrr
0;manutencao de motor gerador;982.78;90.00;421.55;133.13;2021;prrr
6;atender necessidade de reposicao de material de limpeza nao fornecido pela empresa suan;921.10;82.80;396.03;132.58;2018;
5;compra emergencial para enfermagem;796.50;75.55;343.00;132.22;2021;pgr
6;pen drive 8gb;919.00;82.80;396.03;132.05;2016;
5;compra de emergencial para enfermagem;791.50;75.55;343.00;130.76;2018;
18;compra de terra para manutencao do gramado;525.60;48.00;228.78;129.75;2021;prr4 regiao
16;consertar vazamento de agua no terreno com a substituicao de encanamento 15 metros de cano;757.50;66.02;330.00;129.55;2021;prrn
5;compra emergencial para odontologia;787.00;75.55;343.00;129.45;2018;
2;aquisicao de diversos equipamentos para a prm blumenau epis e de seguranca sanitaria;874.80;93.80;381.85;129.10;2020;prsc
15;conserto do portao de entrada principal acesso de carro externo a prr4 entrada da garagem dos procuradores;612.00;63.63;268.50;127.93;2018;
12;"tubo elet 25mm 3mt tigre 
curva eletroduto 25mm tigre
paraf ciser 48x50 pmadeira
bucha parafusar 08ivasa
cx de luz 4x2 tigre amarela
placa cega 4x2 blanc fame
haste de aterramento 150mt
fita isolante 10mt tigre
cabo pp 2x15 sil
disj monof 32a din lorenzete
disj monof 25a din lorenzete
cabo flexsil 400mm 10 sil
conector phaste inco";422.75;31.00;185.55;127.84;2016;
9;materiais para manutencao de pias vaso sanitario e mangueira;466.00;42.00;204.85;127.48;2021;prba
18;contratacao de profissionalempresa especializada em trabalho em altura  alpinismo industrial para efetuar o servico de passagem de cabo sdi pelo forro do auditorio;520.00;48.00;228.78;127.30;2019;prr4 regiao
14;aquisicao de tintas e materiais acessorios para realizacao de pintura no gabinete da dra daniele cardos escobar e tambem a pintura demarcatoria das vagas de moto na garagem do subsolo da prsc;872.98;69.98;384.90;126.81;2021;prsc
19;p substituicao de reatores queimados em gabinete da prsc e uso em manutencoes da parte eletrica na prsc;698.82;71.00;308.73;126.36;2019;prsc
13;repara nas persianas da assessoria dos gabinetes;520.00;40.00;230.50;125.60;2021;prmg
10;quadros  3 unidades;410.00;34.55;181.78;125.55;2016;
4;aquisicao de arquivo morto por nao haver licitacao em andamento;800.00;67.26;355.00;125.35;2019;prmt
4;adquirido em atendimento ao despacho 56352018 da secretaria estadual;800.00;67.26;355.00;125.35;2018;
8;contratacao de servico de reparacao de bebedouros da prsc patrimonios 33016976 33015204 33016971 e 33016958;558.60;50.00;248.54;124.75;2021;prsc
4;aquisicao emergencial de pequena monta;796.50;67.26;355.00;124.37;2019;prmt
15;para conserto das portas de acesso do terreo e 3 andar;600.00;63.63;268.50;123.46;2021;prr4 regiao
1;servico de locacao de tenda modelo circo tamanho 20x11 para evento promovido pelo exmo procurador da republica julio jose araujo junior realizado no dia 01102019 em nova iguacu;300.00;11.60;134.35;123.30;2019;prrj
1;aluguel de servico de munck para manutencao do mastro e retirada das bandeiras;300.00;11.60;134.35;123.30;2017;
1;atender demanda do gabinete do procuradorgeral da republica viagem ao exterior;300.00;11.60;134.35;123.30;2021;pgr
1;recarga de extintores vendidos com fim de viabilizar o plano de desastres da procuradoria da republica em barra do garcasmt;300.00;11.60;134.35;123.30;2021;prmt
16;materais necessarios ao desempenho de funcao e a realizacao de servico;736.82;66.02;330.00;123.28;2021;prrn
4;compra de material necessario nao constante em almoxarifado da pres;790.00;67.26;355.00;122.54;2021;pres
15;"solicito o ajuste da porta da recepcao lado sul apos a passagem de pessoas abre e fecha
varias vezes";590.00;63.63;268.50;119.74;2018;
10;lampadas bateria e parafusos com buchas para prm niteroi;398.77;34.55;181.78;119.37;2020;prrj
11;"quadro eletrico cemar pvc ext br 16 din trif para atender a prm petropolis
fita isolante para a prrj";394.80;33.80;180.00;119.33;2017;
18;material de manutencao predial para uso na prpb;500.60;48.00;228.78;118.82;2021;prpb
7;aquisicao de refil para os purificadores das copas em razao de nao possuirmos em nosso estoque e os que estao em uso ja estao fora da validade;640.00;80.00;292.50;118.80;2018;
2;prevencao ao covid19;834.26;93.80;381.85;118.48;2020;prsc
5;compra emergencial para enfermagem;748.50;75.55;343.00;118.22;2018;
3;aquisicao de placas para a cerimonia de encerramento do curso de autoprotecao para membros realizado nos dias 8 e 9 de setembro na uniprf;869.90;74.90;399.45;117.77;2021;prsc
12;"adesivo branco brilho a4  1 unidade
papel foto flossy 180 gr  5 unidades";403.50;31.00;185.55;117.46;2016;
4;cabo para fazer chupeta nos veiculos da prsc que eventualmente estiverem com a bateria descarregada e carregador de bateria para os veiculos referidos;770.00;67.26;355.00;116.90;2020;prsc
2;aquisicao necessaria para atender demanda da prmsinop visto que nao havia estoque em cuiaba;828.00;93.80;381.85;116.84;2021;prmt
5;compra de uma maca diva para enfermagem em carater emergencial;740.00;75.55;343.00;115.74;2021;pgr
12;compra de botao de emergencia ccaixa  10 unidades;400.00;31.00;185.55;115.58;2016;
6;aquisicao de material de limpeza necessarios para atender a demanda da prrj em razao da empresa graupp  nao estar cumprindo com o contrato;852.90;82.80;396.03;115.36;2018;
19;foram compradas 35trinta e cinco lampadas led tubular 9w com o objetivo de manutencao predial;664.65;71.00;308.73;115.29;2020;prrj
